model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
W2VLinearSVC,84.361005497,10.721965265,0.686763158,0.682210526
TFIDFGaussianNB,5.302994347,1.324452066,0.993210526,0.634210526
TFIDFLinearSVC,0.456216049,0.037401342,0.752552632,0.730000000
TFIDFGaussianNB,5.278682518,1.316685629,0.993210526,0.634210526
W2VGaussianNB,9.928102922,0.707491922,0.524236842,0.522947368
W2VDecisionTreeClassifier,61.635753870,8.572422218,0.500631579,0.500631579
W2VDecisionTreeClassifier,31.981442261,3.198984957,0.500631579,0.500631579
TFIDFLinearSVC,0.436941195,0.051567841,0.923973684,0.750736842
TFIDFMultinomialNB,0.429476070,0.038866758,0.919736842,0.747263158
W2VGaussianNB,14.171444702,2.115077972,0.508052632,0.508315789
TFIDFLinearSVC,4.302100563,0.210005045,0.955310526,0.768821053
W2VDecisionTreeClassifier,140.086628771,11.685952044,0.500189474,0.500189474
TFIDFLinearSVC,4.339647102,0.196211910,0.968394737,0.767284211
TFIDFMultinomialNB,2.163131428,0.215897655,0.944789474,0.768736842
TFIDFLinearSVC,2.576539707,0.203885937,0.828236842,0.780673684
W2VLogisticRegression,116.331217384,10.725893879,0.681331579,0.676084211
W2VLinearSVC,457.116092682,36.064105654,0.704673684,0.700378947
TFIDFMultinomialNB,2.119477034,0.202595997,0.915536842,0.770884211
TFIDFLogisticRegression,2.992806435,0.197006035,0.902789474,0.780063158
W2VDecisionTreeClassifier,37.868480253,5.096226025,0.500631579,0.500631579
TFIDFMultinomialNB,0.672460890,0.059771633,0.918736842,0.758175439
W2VLogisticRegression,194.659968662,15.121491432,0.685912281,0.680561404
TFIDFLinearSVC,0.681810999,0.056924391,0.753333333,0.738947368
W2VMultinomialNB,47.415702772,3.536264658,0.653877193,0.652070175
TFIDFMultinomialNB,0.726127148,0.067147446,0.912333333,0.757192982
TFIDFMultinomialNB,0.688359356,0.061949062,0.935859649,0.757614035
W2VGaussianNB,69.760971546,9.246864271,0.561649123,0.563228070
W2VLinearSVC,60.816977310,8.089033508,0.500631579,0.500631579
W2VDecisionTreeClassifier,145.286256647,18.919968224,0.500631579,0.500631579
